transaction_id,drug_id,hospital_id,transaction_type,quantity,transaction_date,performed_by
DT0000001,DR022,H001,Purchase,149,2024-07-05,Hind Shalaby
DT0000002,DR087,H001,Wastage,26,2024-10-15,Howaida El-Arabi
DT0000003,DR092,H001,Purchase,60,2024-09-12,Basma Abdel-Monem
DT0000004,DR092,H001,Adjustment,18,2024-05-31,Saad El-Sayed
DT0000005,DR136,H001,Purchase,97,2024-09-01,Fares El-Shaer
DT0000006,DR066,H001,Dispensing,26,2024-05-28,Mohsen Radwan
DT0000007,DR087,H001,Purchase,427,2024-10-13,Sobhi Eid
DT0000008,DR118,H001,Dispensing,9,2024-09-20,Shaimaa Mansour
DT0000009,DR003,H001,Dispensing,21,2024-08-02,Ali Mahrous
DT0000010,DR024,H001,Purchase,439,2025-03-29,Youssef Hamouda
DT0000011,DR091,H001,Purchase,86,2025-03-03,Hassan El-Malt
DT0000012,DR040,H001,Dispensing,20,2024-09-17,Salma Hamouda
DT0000013,DR118,H001,Purchase,320,2024-07-03,Omar El-Hariry
DT0000014,DR124,H001,Dispensing,23,2024-05-28,Ali Mahrous
DT0000015,DR057,H001,Wastage,10,2024-11-30,Marwan Shehata
DT0000016,DR051,H001,Dispensing,38,2024-12-21,Nevine Nofal
DT0000017,DR120,H001,Dispensing,14,2024-06-25,Saad Abdel-Monem
DT0000018,DR021,H001,Dispensing,270,2024-05-19,Ali Mahrous
DT0000019,DR015,H001,Dispensing,28,2024-06-09,Youssef Hamouda
DT0000020,DR021,H001,Dispensing,12,2024-10-03,Fathy El-Gohary
DT0000021,DR117,H001,Adjustment,30,2024-10-03,Khaled El-Hamzawy
DT0000022,DR098,H001,Purchase,497,2025-01-31,Mohsen Radwan
DT0000023,DR169,H001,Dispensing,10,2024-11-12,Shaimaa Mansour
DT0000024,DR017,H001,Dispensing,24,2025-03-01,Fares El-Shaer
DT0000025,DR046,H001,Dispensing,23,2025-02-13,Wassim Fawzy
DT0000026,DR064,H001,Dispensing,39,2024-11-02,Khaled El-Hamzawy
DT0000027,DR087,H001,Wastage,24,2024-09-14,Basel Ali
DT0000028,DR006,H001,Dispensing,6,2024-10-27,Soha Gaber
DT0000029,DR124,H001,Return,12,2025-03-31,Diaa Gaber
DT0000030,DR089,H001,Purchase,485,2024-11-28,Hind Shalaby
DT0000031,DR047,H001,Adjustment,1,2025-02-09,Diaa Gaber
DT0000032,DR159,H001,Dispensing,44,2024-12-07,Lotfy Attia
DT0000033,DR134,H001,Dispensing,8,2025-02-10,Ayman Amin
DT0000034,DR046,H001,Adjustment,21,2024-06-26,Amr Bayoumi
DT0000035,DR040,H001,Dispensing,17,2024-06-04,Samir El-Naggar
DT0000036,DR088,H001,Dispensing,14,2025-02-08,Sherif Abdel-Monem
DT0000037,DR168,H001,Dispensing,1,2025-04-11,Nadia Fawzy
DT0000038,DR157,H001,Return,1,2025-04-11,Mamdouh El-Gohary
DT0000039,DR100,H001,Dispensing,36,2024-10-31,Ehab El-Gazar
DT0000040,DR013,H001,Dispensing,50,2024-06-28,Medhat El-Sawi
DT0000041,DR008,H001,Dispensing,27,2024-05-27,Fatima El-Diwany
DT0000042,DR017,H001,Dispensing,7,2025-01-18,Nagwa Gaber
DT0000043,DR137,H001,Purchase,467,2025-04-24,May Salem
DT0000044,DR035,H001,Wastage,6,2024-05-20,Nevine Nofal
DT0000045,DR139,H001,Adjustment,6,2024-05-13,Nashaat El-Diwany
DT0000046,DR101,H001,Purchase,402,2024-10-16,Mohsen Radwan
DT0000047,DR002,H001,Purchase,142,2024-10-14,Wassim Amin
DT0000048,DR044,H001,Wastage,23,2024-05-17,Moneer El-Sherbeny
DT0000049,DR091,H001,Purchase,445,2025-01-07,Ramy Hamza
DT0000050,DR057,H001,Return,17,2025-04-25,Omar El-Hariry
DT0000051,DR064,H001,Adjustment,24,2025-03-14,Diaa Gaber
DT0000052,DR167,H001,Dispensing,29,2025-01-05,Lamia Ali
DT0000053,DR138,H001,Dispensing,3,2024-06-13,Hassan El-Malt
DT0000054,DR161,H001,Dispensing,12,2024-11-07,Amr El-Banna
DT0000055,DR076,H001,Dispensing,9,2024-08-27,Saad Abdel-Monem
DT0000056,DR027,H001,Purchase,354,2025-02-19,Marwan Ramadan
DT0000057,DR138,H001,Wastage,1,2024-12-23,Hazem Hassan
DT0000058,DR008,H001,Dispensing,44,2024-09-03,Mohsen Radwan
DT0000059,DR136,H001,Dispensing,46,2025-03-23,Yara El-Tayeb
DT0000060,DR041,H001,Dispensing,36,2025-02-21,Aisha Ali
DT0000061,DR059,H001,Dispensing,43,2025-04-11,Zaki Rushdy
DT0000062,DR070,H001,Purchase,223,2025-02-03,Fathy El-Gohary
DT0000063,DR085,H001,Dispensing,9,2025-01-01,Aisha Ali
DT0000064,DR145,H001,Dispensing,31,2025-04-13,Akram Bayoumi
DT0000065,DR111,H001,Dispensing,44,2025-03-17,Niveen Tobar
DT0000066,DR154,H001,Purchase,491,2025-02-08,Omar El-Hariry
DT0000067,DR012,H001,Purchase,286,2025-03-09,Farida El-Malt
DT0000068,DR144,H001,Dispensing,16,2025-01-31,Labib Younis
DT0000069,DR070,H001,Dispensing,13,2024-06-20,Basma Shaaban
DT0000070,DR049,H001,Dispensing,18,2024-11-27,Farida El-Malt
DT0000071,DR032,H001,Dispensing,42,2025-04-08,Nour El-Zanaty
DT0000072,DR110,H001,Adjustment,28,2025-03-12,Moneer El-Sherbeny
DT0000073,DR059,H001,Return,30,2025-04-30,Sherif Abdel-Monem
DT0000074,DR139,H001,Dispensing,45,2025-03-14,Khadija Fawzy
DT0000075,DR018,H001,Purchase,338,2024-06-17,Ayman Mohamed
DT0000076,DR083,H001,Wastage,13,2024-07-25,Medhat El-Sawi
DT0000077,DR036,H001,Wastage,20,2024-07-16,Ramy Hamza
DT0000078,DR070,H001,Dispensing,4,2024-07-07,Ali Mahrous
DT0000079,DR106,H001,Dispensing,33,2024-10-19,Nagy Eid
DT0000080,DR020,H001,Wastage,6,2024-10-20,Iman Selim
DT0000081,DR136,H001,Adjustment,7,2024-07-03,Fatima El-Diwany
DT0000082,DR103,H001,Purchase,419,2025-03-15,Aisha Ali
DT0000083,DR110,H001,Dispensing,46,2024-09-07,Wassim Fawzy
DT0000084,DR018,H001,Dispensing,2,2024-05-29,Soha Gaber
DT0000085,DR086,H001,Dispensing,43,2024-12-22,Basel Ali
DT0000086,DR168,H001,Purchase,452,2025-02-19,Ola El-Hariry
DT0000087,DR148,H001,Dispensing,7,2024-10-30,Ramzy Rushdy
DT0000088,DR083,H001,Return,3,2025-05-01,Youssef Hamouda
DT0000089,DR137,H001,Dispensing,1,2024-11-19,Samah Helal
DT0000090,DR154,H001,Dispensing,7,2025-05-02,Yara El-Tayeb
DT0000091,DR042,H001,Dispensing,43,2025-03-15,Fathy El-Arabi
DT0000092,DR105,H001,Purchase,324,2024-11-27,Saad El-Sayed
DT0000093,DR052,H001,Dispensing,41,2024-08-19,Magid Ghanem
DT0000094,DR098,H001,Adjustment,27,2024-12-27,Fathy El-Arabi
DT0000095,DR038,H001,Dispensing,26,2024-05-29,Ali Mahrous
DT0000096,DR151,H001,Purchase,450,2025-04-15,Samira Lotfy
DT0000097,DR065,H001,Dispensing,35,2025-01-02,Khadija Fawzy
DT0000098,DR153,H001,Wastage,20,2025-01-30,Nashaat El-Diwany
DT0000099,DR103,H001,Dispensing,12,2025-01-13,Ayman Mohamed
DT0000100,DR166,H001,Adjustment,29,2024-12-11,Ghada Farghaly
DT0000101,DR058,H001,Return,11,2025-05-07,Ayman Mohamed
DT0000102,DR059,H001,Purchase,267,2024-08-09,Ayman Amin
DT0000103,DR149,H001,Return,12,2025-01-14,Basel Ali
DT0000104,DR143,H001,Dispensing,19,2025-04-20,Sherif Abdel-Monem
DT0000105,DR058,H001,Purchase,451,2024-05-31,Iman Selim
DT0000106,DR022,H001,Adjustment,22,2024-07-31,Karam Morsi
DT0000107,DR146,H001,Dispensing,9,2024-07-06,Samah Helal
DT0000108,DR156,H001,Wastage,5,2025-02-22,Samer Metwally
DT0000109,DR151,H001,Purchase,107,2024-06-30,Asmaa El-Shaer
DT0000110,DR005,H001,Dispensing,18,2024-08-07,Howaida El-Arabi
DT0000111,DR014,H001,Dispensing,45,2024-10-22,Wassim Fawzy
DT0000112,DR096,H001,Purchase,101,2024-10-03,Sobhi Osman
DT0000113,DR115,H001,Dispensing,2,2025-01-20,Samer El-Wakeel
DT0000114,DR157,H001,Dispensing,9,2024-06-30,Lotfy Attia
DT0000115,DR061,H001,Adjustment,28,2025-04-03,Zaki Khalil
DT0000116,DR095,H001,Dispensing,24,2024-06-16,Zaki Khalil
DT0000117,DR006,H001,Dispensing,49,2024-08-20,Hatem Radwan
DT0000118,DR067,H001,Wastage,18,2024-10-11,Youssef Hamouda
DT0000119,DR149,H001,Dispensing,288,2024-11-20,Wassim Fawzy
DT0000120,DR079,H001,Dispensing,36,2025-04-05,Nagy Eid
DT0000121,DR123,H001,Return,6,2025-02-13,Samer Metwally
DT0000122,DR086,H001,Dispensing,2,2024-10-04,Ayman Mohamed
DT0000123,DR145,H001,Adjustment,30,2024-11-12,Abdelhamid Hanafy
DT0000124,DR065,H001,Wastage,19,2024-07-17,Nadia Fawzy
DT0000125,DR083,H001,Dispensing,50,2025-02-26,Yara Mansour
DT0000126,DR004,H001,Dispensing,261,2024-11-10,Samir El-Naggar
DT0000127,DR089,H001,Return,7,2024-08-22,Sherif Abdel-Monem
DT0000128,DR093,H001,Adjustment,7,2025-03-12,Yara El-Tayeb
